POSTING DATE,QUANTITY
2020-09-16,526
2020-09-16,200
2020-09-17,174
2020-09-17,20
2020-09-17,25
2020-09-17,526
2020-09-17,200
2020-09-17,143
2020-09-18,450
2020-09-18,486
2020-09-18,180
2020-09-18,200
2020-09-18,200
2020-09-19,180
2020-09-19,180
2020-09-19,526
2020-09-19,180
2020-09-19,300
2020-09-19,460
2020-09-19,486
2020-09-19,180
2020-09-21,180
2020-09-21,484
2020-09-21,200
2020-09-21,180
2020-09-21,180
2020-09-21,180
2020-09-21,300
2020-09-22,191
2020-09-22,300
2020-09-22,300
2020-09-23,300
2020-09-23,300
2020-09-23,300
2020-09-23,200
2020-09-23,190
2020-09-23,300
2020-09-23,200
2020-09-23,460
2020-09-23,486
2020-09-23,115
2020-09-23,115
2020-09-23,460
2020-09-24,300
2020-09-24,20
2020-09-24,200
2020-09-24,300
2020-09-24,231
2020-09-24,200
2020-09-25,300
2020-09-25,145
2020-09-25,484
2020-09-25,200
2020-09-25,300
2020-09-25,300
2020-09-25,155
2020-09-25,506
2020-09-26,200
2020-09-26,50
2020-09-26,526
2020-09-26,526
2020-09-26,432
2020-09-26,180
2020-09-26,300
2020-09-26,200
2020-09-26,526
2020-09-26,200
2020-09-27,300
2020-09-27,486
2020-09-27,486
2020-09-27,200
2020-09-27,180
2020-09-28,250
2020-09-28,302
2020-09-28,110
2020-09-28,460
2020-09-28,70
2020-09-28,130
2020-09-28,250
2020-09-28,115
2020-09-28,460
2020-09-28,526
2020-09-28,325
2020-09-28,180
2020-09-28,300
2020-09-28,325
2020-09-29,526
2020-09-29,486
2020-09-29,350
2020-09-29,130
2020-09-29,200
2020-09-29,200
2020-09-29,486
2020-09-29,200
2020-09-29,350
2020-09-29,500
2020-09-29,526
2020-09-29,526
2020-09-29,180
2020-09-29,350
2020-09-29,400
2020-09-30,330
2020-09-30,200
2020-09-30,460
2020-09-30,200
2020-09-30,200
2020-10-01,330
2020-10-01,180
2020-10-01,526
2020-10-01,200
2020-10-01,420
2020-10-01,460
2020-10-01,300
2020-10-02,460
2020-10-02,486
2020-10-03,200
2020-10-03,185
2020-10-03,526
2020-10-03,200
2020-10-03,460
2020-10-03,460
2020-10-04,526
2020-10-05,520
2020-10-05,200
2020-10-06,200
2020-10-06,200
2020-10-07,484
2020-10-07,300
2020-10-07,526
2020-10-07,200
2020-10-07,526
2020-10-08,180
2020-10-08,300
2020-10-10,100
2020-10-11,160
2020-10-12,460
2020-10-12,172
2020-10-13,300
2020-10-13,300
2020-10-13,30
2020-10-13,200
2020-10-14,200
2020-10-14,35
2020-10-15,200
2020-10-20,225
2020-10-20,140
2020-10-22,77
2020-10-22,48
2020-10-28,40
2020-10-28,180
2020-10-29,55
2020-11-03,155
2020-11-07,145
2020-11-19,300
2020-11-19,300
2020-11-20,300
2020-11-20,300
2020-11-23,300
2020-11-23,300
2020-11-24,200
2020-11-24,300
2020-11-25,300
2020-11-26,300
2020-11-26,300
2020-11-27,300
2020-11-27,526
2020-11-27,200
2020-11-27,200
2020-12-03,1
2020-12-03,150
2020-12-05,526
2020-12-05,526
2020-12-11,220
2020-12-12,220
2020-12-14,120
2020-12-15,300
2020-12-15,250
2020-12-16,386
2020-12-16,300
2020-12-16,190
2020-12-17,350
2020-12-18,392
2020-12-18,350
2020-12-18,361
2020-12-18,407
2020-12-19,405
2020-12-19,200
2020-12-19,373
2020-12-20,377
2020-12-20,350
2020-12-20,350
2020-12-21,230
2020-12-21,350
2020-12-21,450
2020-12-21,400
2020-12-21,400
2020-12-21,420
2020-12-21,350
2020-12-22,380
2020-12-22,50
2020-12-22,400
2020-12-22,300
2020-12-23,450
2020-12-23,400
2020-12-23,425
2020-12-24,400
2020-12-24,450
2020-12-24,450
2020-12-24,430
2020-12-24,400
2020-12-25,378
2020-12-25,230
2020-12-25,378
2020-12-25,450
2020-12-25,414
2020-12-25,440
2020-12-26,230
2020-12-26,378
2020-12-26,378
2020-12-26,380
2020-12-26,230
2020-12-26,65
2020-12-26,107
2020-12-26,435
2020-12-26,415
2020-12-26,100
2020-12-27,440
2020-12-27,200
2020-12-28,378
2020-12-28,450
2020-12-28,95
2020-12-28,450
2020-12-29,400
2020-12-29,230
2020-12-29,420
2020-12-29,68
2020-12-30,450
2020-12-30,70
2020-12-30,378
2020-12-31,230
2020-12-31,110
2020-12-31,211
2020-12-31,230
2020-12-31,400
2020-12-31,378
2020-12-31,230
2021-01-01,390
2021-01-01,380
2021-01-01,390
2021-01-01,400
2021-01-01,390
2021-01-02,400
2021-01-02,378
2021-01-02,78
2021-01-02,430
2021-01-02,386
2021-01-02,450
2021-01-02,350
2021-01-02,350
2021-01-03,378
2021-01-03,230
2021-01-03,360
2021-01-03,400
2021-01-03,360
2021-01-03,360
2021-01-04,370
2021-01-04,350
2021-01-04,350
2021-01-04,350
2021-01-04,350
2021-01-04,350
2021-01-04,350
2021-01-04,450
2021-01-04,350
2021-01-05,360
2021-01-06,296
2021-01-06,450
2021-01-06,400
2021-01-10,235
2021-01-10,126
2021-01-10,230
2021-01-10,210
2021-01-11,172
2021-01-14,230
2021-01-15,230
2021-01-15,450
2021-01-19,230
2021-01-19,230
2021-01-21,302
2021-01-22,342
2021-01-22,311
2021-01-24,230
2021-01-25,150
2021-01-25,200
2021-01-28,460
2021-02-01,350
2021-02-02,230
2021-02-02,300
2021-02-04,230
2021-02-10,170
2021-02-18,200
2021-02-26,73
2021-02-27,200
2021-02-27,400
2021-03-01,400
2021-03-01,492
2021-03-02,400
2021-03-02,230
2021-03-02,492
2021-03-02,230
2021-03-02,300
2021-03-02,492
2021-03-03,400
2021-03-03,300
2021-03-03,492
2021-03-04,300
2021-03-04,460
2021-03-04,300
2021-03-04,450
2021-03-04,492
2021-03-05,484
2021-03-05,450
2021-03-05,492
2021-03-05,300
2021-03-05,300
2021-03-06,300
2021-03-06,250
2021-03-06,476
2021-03-06,492
2021-03-06,300
2021-03-06,300
2021-03-07,130
2021-03-07,250
2021-03-07,480
2021-03-07,250
2021-03-08,300
2021-03-08,426
2021-03-09,300
2021-03-10,160
2021-03-10,200
2021-03-11,300
2021-03-12,350
2021-03-13,350
2021-03-13,350
2021-03-13,450
2021-03-14,230
2021-03-15,500
2021-03-15,350
2021-03-15,410
2021-03-15,200
2021-03-15,300
2021-03-15,450
2021-03-17,492
2021-03-17,50
2021-03-17,350
2021-03-18,350
2021-03-18,480
2021-03-19,230
2021-03-19,272
2021-03-20,400
2021-03-20,350
2021-03-22,303
2021-03-22,350
2021-03-22,492
2021-03-23,224
2021-03-23,350
2021-03-24,340
2021-03-24,426
2021-03-24,124
2021-03-24,125
2021-03-25,75
2021-03-25,492
2021-03-25,305
2021-03-26,492
2021-03-26,350
2021-03-26,300
2021-03-27,350
2021-03-27,350
2021-03-31,300
2021-04-01,450
2021-04-01,486
2021-04-02,486
2021-04-03,50
2021-04-03,370
2021-04-03,300
2021-04-03,500
2021-04-03,14
2021-04-06,300
2021-04-06,350
2021-04-06,120
2021-04-09,100
2021-04-09,412
2021-04-09,251
2021-04-09,492
2021-04-09,100
2021-04-12,200
2021-04-15,450
2021-04-17,326
2021-04-21,320
2021-04-22,40
2021-04-22,220
2021-04-22,40
2021-04-22,180
2021-04-23,450
2021-04-24,300
2021-04-26,350
2021-04-26,350
2021-04-27,300
2021-04-28,350
2021-04-28,300
2021-04-28,350
2021-04-29,389
2021-04-29,180
2021-04-29,320
2021-04-30,303
2021-05-01,230
2021-05-03,286
2021-05-06,300
2021-05-07,200
2021-05-07,87
2021-05-10,416
2021-05-11,460
2021-05-11,230
2021-05-11,300
2021-05-11,486
2021-05-11,460
2021-05-13,486
2021-05-13,486
2021-05-13,460
2021-05-15,486
2021-05-15,486
2021-05-15,486
2021-05-16,468
2021-05-16,486
2021-05-18,486
2021-05-18,486
2021-05-19,492
2021-05-20,486
2021-05-20,486
2021-05-21,528
2021-05-21,492
2021-05-24,230
2021-05-27,486
2021-05-28,486
2021-05-31,486
2021-06-01,230
2021-06-01,480
2021-06-04,230
2021-06-05,230
2021-06-07,230
2021-06-10,230
2021-06-11,486
2021-06-11,230
2021-06-12,230
2021-06-12,486
2021-06-16,486
2021-06-16,150
2021-06-16,150
2021-06-16,486
2021-06-16,400
2021-06-16,486
2021-06-17,300
2021-06-17,300
2021-06-17,300
2021-06-17,300
2021-06-18,150
2021-06-18,150
2021-06-18,400
2021-06-18,300
2021-06-18,300
2021-06-19,300
2021-06-21,200
2021-06-21,150
2021-06-21,300
2021-06-21,150
2021-06-21,486
2021-06-21,200
2021-06-22,200
2021-06-22,400
2021-06-22,300
2021-06-22,400
2021-06-23,400
2021-06-23,300
2021-06-24,150
2021-06-24,250
2021-06-24,200
2021-06-24,150
2021-06-24,150
2021-06-24,150
2021-06-25,200
2021-06-25,150
2021-06-25,150
2021-06-25,495
2021-06-25,300
2021-06-25,414
2021-06-26,80
2021-06-26,450
2021-06-26,150
2021-06-26,500
2021-06-26,500
2021-06-26,200
2021-06-26,300
2021-06-26,250
2021-06-26,450
2021-06-26,450
2021-06-26,200
2021-06-26,80
2021-06-26,170
2021-06-26,460
2021-06-28,200
2021-06-28,500
2021-06-28,450
2021-06-28,480
2021-06-28,480
2021-06-28,200
2021-06-28,500
2021-06-28,480
2021-06-28,70
2021-06-28,300
2021-06-28,200
2021-06-28,500
2021-06-28,450
2021-06-28,500
2021-06-29,150
2021-06-29,170
2021-06-29,432
2021-06-29,500
2021-06-29,450
2021-06-29,500
2021-06-29,200
2021-06-29,480
2021-06-29,500
2021-06-30,480
2021-06-30,486
2021-06-30,492
2021-06-30,200
2021-06-30,150
2021-06-30,500
2021-07-01,450
2021-07-01,200
2021-07-01,200
2021-07-01,460
2021-07-01,450
2021-07-01,200
2021-07-01,200
2021-07-01,220
2021-07-01,500
2021-07-02,500
2021-07-03,300
2021-07-05,200
2021-07-05,200
2021-07-05,200
2021-07-05,400
2021-07-05,200
2021-07-05,200
2021-07-06,200
2021-07-06,200
2021-07-06,220
2021-07-07,252
2021-07-07,200
2021-07-07,200
2021-07-07,200
2021-07-08,400
2021-07-08,220
2021-07-08,200
2021-07-08,200
2021-07-09,200
2021-07-09,200
2021-07-09,452
2021-07-09,200
2021-07-09,200
2021-07-10,200
2021-07-11,200
2021-07-12,416
2021-07-12,200
2021-07-12,220
2021-07-12,200
2021-07-13,200
2021-07-13,200
2021-07-13,450
2021-07-13,500
2021-07-14,100
2021-07-14,200
2021-07-15,200
2021-07-15,200
2021-07-16,190
2021-07-16,200
2021-07-16,200
2021-07-16,200
2021-07-16,200
2021-07-16,200
2021-07-16,200
2021-07-17,173
2021-07-17,99
2021-07-17,27
2021-07-17,486
2021-07-19,200
2021-07-19,190
2021-07-19,200
2021-07-20,180
2021-07-20,192
2021-07-20,188
2021-07-21,200
2021-07-23,215
2021-07-23,501
2021-07-25,215
2021-07-25,200
2021-07-26,216
2021-07-26,450
2021-07-27,230
2021-07-27,230
2021-07-28,230
2021-07-28,492
2021-07-28,230
2021-07-28,450
2021-07-28,492
2021-07-28,470
2021-07-29,492
2021-07-29,450
2021-07-29,230
2021-07-29,170
2021-07-29,230
2021-07-30,216
2021-07-30,230
2021-07-30,114
2021-07-30,230
2021-07-31,230
2021-07-31,501
2021-07-31,230
2021-07-31,400
2021-07-31,492
2021-07-31,346
2021-07-31,230
2021-07-31,492
2021-08-02,450
2021-08-02,400
2021-08-02,224
2021-08-02,200
2021-08-02,200
2021-08-03,174
2021-08-03,230
2021-08-03,469
2021-08-03,230
2021-08-03,500
2021-08-04,496
2021-08-04,500
2021-08-07,400
2021-08-07,500
2021-08-07,492
2021-08-09,400
2021-08-09,120
2021-08-09,486
2021-08-09,455
2021-08-09,486
2021-08-10,460
2021-08-10,160
2021-08-10,180
2021-08-10,240
2021-08-10,492
2021-08-11,492
2021-08-11,492
2021-08-11,460
2021-08-11,506
2021-08-11,487
2021-08-11,486
2021-08-11,80
2021-08-11,80
2021-08-11,426
2021-08-12,300
2021-08-12,500
2021-08-12,470
2021-08-12,500
2021-08-12,400
2021-08-12,500
2021-08-12,170
2021-08-12,300
2021-08-13,486
2021-08-13,486
2021-08-13,300
2021-08-13,450
2021-08-13,480
2021-08-13,300
2021-08-13,492
2021-08-13,60
2021-08-14,120
2021-08-14,400
2021-08-14,492
2021-08-14,300
2021-08-16,300
2021-08-16,260
2021-08-16,400
2021-08-16,300
2021-08-16,464
2021-08-17,63
2021-08-17,150
2021-08-17,300
2021-08-17,486
2021-08-17,116
2021-08-17,486
2021-08-17,300
2021-08-17,500
2021-08-17,396
2021-08-18,350
2021-08-18,492
2021-08-18,400
2021-08-18,105
2021-08-18,450
2021-08-18,150
2021-08-19,175
2021-08-19,400
2021-08-19,480
2021-08-19,300
2021-08-20,492
2021-08-20,300
2021-08-20,300
2021-08-20,80
2021-08-20,300
2021-08-20,300
2021-08-20,480
2021-08-21,400
2021-08-21,150
2021-08-21,400
2021-08-21,300
2021-08-21,300
2021-08-21,300
2021-08-22,480
2021-08-23,300
2021-08-23,400
2021-08-23,492
2021-08-24,300
2021-08-24,230
2021-08-24,300
2021-08-25,300
2021-08-25,500
2021-08-25,400
2021-08-25,400
2021-08-25,300
2021-08-26,300
2021-08-26,300
2021-08-26,400
2021-08-26,400
2021-08-26,125
2021-08-26,300
2021-08-27,230
2021-08-27,400
2021-08-27,300
2021-08-28,240
2021-08-28,420
2021-08-28,400
2021-08-28,300
2021-08-28,512
2021-08-31,400
2021-08-31,230
2021-09-01,400
2021-09-01,400
2021-09-02,400
2021-09-02,450
2021-09-02,400
2021-09-03,265
2021-09-03,350
2021-09-04,300
2021-09-04,400
2021-09-04,400
2021-09-04,230
2021-09-05,500
2021-09-05,500
2021-09-06,368
2021-09-06,200
2021-09-06,486
2021-09-06,60
2021-09-06,200
2021-09-06,230
2021-09-07,486
2021-09-07,230
2021-09-07,350
2021-09-08,213
2021-09-08,200
2021-09-08,400
2021-09-08,300
2021-09-09,320
2021-09-10,400
2021-09-10,350
2021-09-11,210
2021-09-11,400
2021-09-13,300
2021-09-13,300
2021-09-13,300
2021-09-13,300
2021-09-14,160
2021-09-14,400
2021-09-14,417
2021-09-14,400
2021-09-14,230
2021-09-14,200
2021-09-14,300
2021-09-14,230
2021-09-14,220
2021-09-14,150
2021-09-14,310
2021-09-15,250
2021-09-15,300
2021-09-15,400
2021-09-15,350
2021-09-15,400
2021-09-15,400
2021-09-15,410
2021-09-16,130
2021-09-16,300
2021-09-16,470
2021-09-16,130
2021-09-16,250
2021-09-16,300
2021-09-16,250
2021-09-16,400
2021-09-16,300
2021-09-17,260
2021-09-17,300
2021-09-17,300
2021-09-17,110
2021-09-17,280
2021-09-17,300
2021-09-17,185
2021-09-17,300
2021-09-17,475
2021-09-18,97
2021-09-18,300
2021-09-18,404
2021-09-18,280
2021-09-19,300
2021-09-20,300
2021-09-21,300
2021-09-21,100
2021-09-21,240
2021-09-21,148
2021-09-21,200
2021-09-21,100
2021-09-21,54
2021-09-21,150
2021-09-21,376
2021-09-22,200
2021-09-22,230
2021-09-22,300
2021-09-23,300
2021-09-23,300
2021-09-23,300
2021-09-24,486
2021-09-24,486
2021-09-24,300
2021-09-24,300
2021-09-24,500
2021-09-25,175
2021-09-25,160
2021-09-25,99
2021-09-25,300
2021-09-26,400
2021-09-27,300
2021-09-28,300
2021-09-28,100
2021-09-28,460
2021-09-28,50
2021-09-29,400
2021-09-29,500
2021-09-29,100
2021-09-30,230
2021-09-30,300
2021-10-01,183
2021-10-01,246
2021-10-01,300
2021-10-01,400
2021-10-03,300
2021-10-04,300
2021-10-05,400
2021-10-06,300
2021-10-07,200
2021-10-13,144
2021-10-21,150
2021-10-22,200
2021-10-27,150
2021-10-27,300
2021-10-27,300
2021-10-28,198
2021-10-28,357
2021-10-28,300
2021-10-28,243
2021-10-28,300
2021-10-28,300
2021-10-29,300
2021-10-29,300
2021-11-10,237
2021-11-10,300
2021-11-10,300
2021-11-10,300
2021-11-29,210
2021-11-29,210
2021-11-30,100
2021-12-01,120
2021-12-08,144
2021-12-09,250
2021-12-09,250
2021-12-10,250
2021-12-10,250
2021-12-13,1
2021-12-14,300
2021-12-25,322
2021-12-25,322
2021-12-25,322
2021-12-25,322
2021-12-25,322
2021-12-27,322
2021-12-27,322
2021-12-27,322
2021-12-27,322
2021-12-28,300
2021-12-28,300
2021-12-28,300
2021-12-28,300
2021-12-29,300
2021-12-29,300
2021-12-29,300
2021-12-29,300
2021-12-29,300
2021-12-29,300
2021-12-30,300
2021-12-30,300
2021-12-30,300
2021-12-30,300
2022-01-03,300
2022-01-03,300
2022-01-03,300
2022-01-04,492
2022-01-04,459
2022-01-05,493
2022-01-05,463
2022-01-05,474
2022-01-07,427
2022-01-08,500
2022-01-10,500
2022-01-10,488
2022-01-12,500
2022-01-15,150
2022-01-15,482
2022-01-15,150
2022-01-15,488
2022-01-15,485
2022-01-18,491
2022-01-18,120
2022-01-19,200
2022-01-21,111
2022-02-17,1
2022-02-17,8
2022-02-17,5
2022-02-19,12
2022-02-19,12
2022-02-19,300
2022-02-21,300
2022-02-22,300
2022-02-23,300
2022-02-23,300
2022-02-24,150
2022-02-24,300
2022-02-24,150
2022-02-24,300
2022-02-26,100
2022-03-10,250
2022-03-10,250
2022-03-15,100
2022-03-15,150
2022-03-15,432
2022-03-16,300
2022-03-16,300
2022-03-16,100
2022-03-17,300
2022-03-19,300
2022-03-19,300
2022-03-20,250
2022-03-22,300
2022-03-22,250
2022-03-24,250
2022-03-25,350
2022-03-26,350
2022-03-26,250
2022-03-28,180
2022-03-29,120
2022-03-29,128
2022-03-29,1
2022-03-29,440
2022-03-30,190
2022-03-31,10
2022-04-11,445
2022-04-15,260
2022-05-05,70
2022-05-10,300
2022-05-11,180
2022-05-12,180
2022-05-13,180
2022-05-14,180
2022-05-16,180
2022-05-17,408
2022-05-23,400
2022-05-24,120
2022-05-31,36
2022-05-31,200
2022-05-31,192
2022-06-01,1
2022-06-01,83
2022-06-15,36
2022-06-15,144
2022-06-19,250
2022-06-19,250
2022-06-20,500
2022-06-22,300
2022-06-22,300
2022-06-23,300
2022-06-23,300
2022-06-24,300
2022-06-24,300
2022-06-25,345
2022-06-25,300
2022-06-25,500
2022-06-27,300
2022-06-27,2
2022-06-27,500
2022-06-27,300
2022-06-27,450
2022-06-28,300
2022-06-28,250
2022-06-28,300
2022-06-28,350
2022-06-28,350
2022-06-29,500
2022-06-30,492
2022-06-30,300
2022-06-30,500
2022-07-02,300
2022-07-02,300
2022-07-04,250
2022-07-05,300
2022-07-07,300
2022-07-07,300
2022-07-11,300
2022-07-11,300
2022-07-13,400
2022-07-15,300
2022-07-15,300
2022-07-16,300
2022-07-19,410
2022-07-20,300
2022-07-21,300
2022-07-21,200
2022-07-21,300
2022-07-23,300
2022-07-24,300
2022-07-25,200
2022-07-29,470
2022-07-29,114
2022-07-30,500
2022-07-30,500
2022-08-02,468
2022-08-02,300
2022-08-03,200
2022-08-04,494
2022-08-06,150
2022-08-07,438
2022-08-09,250
2022-08-10,30
2022-08-10,250
2022-08-10,300
2022-08-11,350
2022-08-12,300
2022-08-12,300
2022-08-12,350
2022-08-12,410
2022-08-13,300
2022-08-13,300
2022-08-13,300
2022-08-16,300
2022-08-16,300
2022-08-17,190
2022-08-17,493
2022-08-17,300
2022-08-17,380
2022-08-17,300
2022-08-17,300
2022-08-17,320
2022-08-17,320
2022-08-17,320
2022-08-18,507
2022-08-18,300
2022-08-18,540
2022-08-18,100
2022-08-18,320
2022-08-18,320
2022-08-18,320
2022-08-18,300
2022-08-19,500
2022-08-19,486
2022-08-19,190
2022-08-19,200
2022-08-20,380
2022-08-20,500
2022-08-20,300
2022-08-20,260
2022-08-20,300
2022-08-20,300
2022-08-20,400
2022-08-21,380
2022-08-22,180
2022-08-22,300
2022-08-22,300
2022-08-22,300
2022-08-22,350
2022-08-23,300
2022-08-23,500
2022-08-23,320
2022-08-23,300
2022-08-23,95
2022-08-24,320
2022-08-24,320
2022-08-24,380
2022-08-24,300
2022-08-25,200
2022-08-25,500
2022-08-25,85
2022-08-25,500
2022-08-26,83
2022-08-26,59
2022-08-26,300
2022-08-26,180
2022-08-26,142
2022-08-26,300
2022-08-27,500
2022-08-27,152
2022-08-29,300
2022-08-29,150
2022-08-30,250
2022-08-30,400
2022-08-30,150
2022-08-30,250
2022-08-30,486
2022-08-30,300
2022-08-31,400
2022-09-01,300
2022-09-01,230
2022-09-02,160
2022-09-02,230
2022-09-02,460
2022-09-03,300
2022-09-03,492
2022-09-03,464
2022-09-03,300
2022-09-03,330
2022-09-03,380
2022-09-03,300
2022-09-03,432
2022-09-03,486
2022-09-03,486
2022-09-03,300
2022-09-05,400
2022-09-05,300
2022-09-05,460
2022-09-05,100
2022-09-05,200
2022-09-05,100
2022-09-05,250
2022-09-05,190
2022-09-05,342
2022-09-05,380
2022-09-05,300
2022-09-05,300
2022-09-06,214
2022-09-06,400
2022-09-06,400
2022-09-06,300
2022-09-06,200
2022-09-06,28
2022-09-06,400
2022-09-06,300
2022-09-06,380
2022-09-06,100
2022-09-07,300
2022-09-07,230
2022-09-07,30
2022-09-07,300
2022-09-07,230
2022-09-07,300
2022-09-07,175
2022-09-07,486
2022-09-07,400
2022-09-07,400
2022-09-08,486
2022-09-08,200
2022-09-08,300
2022-09-08,300
2022-09-08,200
2022-09-08,300
2022-09-08,300
2022-09-08,100
2022-09-09,300
2022-09-09,300
2022-09-09,300
2022-09-09,250
2022-09-09,300
2022-09-09,350
2022-09-09,300
2022-09-10,300
2022-09-10,300
2022-09-10,335
2022-09-10,300
2022-09-12,300
2022-09-12,300
2022-09-12,300
2022-09-12,300
2022-09-12,388
2022-09-13,300
2022-09-13,180
2022-09-13,350
2022-09-13,250
2022-09-13,250
2022-09-13,300
2022-09-14,400
2022-09-14,400
2022-09-14,300
2022-09-15,300
2022-09-15,420
2022-09-16,178
2022-09-16,84
2022-09-16,450
2022-09-16,250
2022-09-17,300
2022-09-18,400
2022-09-19,464
2022-09-19,350
2022-09-19,436
2022-09-20,300
2022-09-20,190
2022-09-20,300
2022-09-20,492
2022-09-21,434
2022-09-21,57
2022-09-21,450
2022-09-22,500
2022-09-23,300
2022-09-24,300
